s1	n_true	n_true_s2	n_true_s3	validation
S1-923004687	5	3	2	0
S1-720267109	3	1	2	0
S1-585186987	4	1	3	1
S1-680416224	10	5	5	0
S1-861009388	1	0	1	0
S1-986840295	4	2	2	0
S1-627703221	2	1	1	1
S1-897139028	0	0	0	0
S1-136804916	2	1	1	0
S1-541770027	0	0	0	0
S1-250008205	6	2	4	0
S1-340669973	7	3	4	0
S1-727618516	3	1	2	0
S1-377681153	1	1	0	0
S1-804549498	4	3	1	1
S1-109335764	4	2	2	0
S1-3956614	4	2	2	0
S1-946780862	4	3	1	0
S1-411264809	4	2	2	0
S1-116970037	4	2	2	0
S1-41580779	2	1	1	0
S1-405113543	4	1	3	0
S1-239489191	3	2	1	0
S1-917021063	2	1	1	1
S1-456943523	5	2	3	0
S1-14503478	3	2	1	0
S1-658410682	5	3	2	0
S1-485746878	0	0	0	1
S1-60498869	6	3	3	0
S1-303906267	0	0	0	0
S1-217617883	4	2	2	0
S1-53374274	6	1	5	0
S1-685740058	2	1	1	0
S1-231837050	4	1	3	1
S1-393314432	6	4	2	0
S1-144406637	4	2	2	0
S1-541843420	2	1	1	0
S1-601027147	5	2	3	0
S1-155305511	2	0	2	0
S1-121217068	4	2	2	0
S1-597079008	3	1	2	0
S1-66819018	5	3	2	0
S1-196931737	1	1	0	1
S1-295947966	3	1	2	0
S1-366295399	4	3	1	0
S1-835576949	7	4	3	0
S1-403891410	5	2	3	0
S1-345047829	0	0	0	0
S1-212148787	0	0	0	1
S1-563737501	4	2	2	0
S1-915043156	4	2	2	0
S1-141445117	4	2	2	0
S1-193422116	4	3	1	0
S1-301396285	1	1	0	0
S1-683331622	5	4	1	0
S1-871673952	5	1	4	1
S1-180562737	3	2	1	0
S1-568160729	6	3	3	0
S1-530068271	3	1	2	0
S1-618453241	4	2	2	0
S1-16486178	5	2	3	0
S1-858399873	3	1	2	0
S1-193471205	1	0	1	0
S1-163483533	4	2	2	1
S1-733032595	3	0	3	0
S1-987003695	6	4	2	0
S1-984672426	4	1	3	0
S1-520686987	8	4	4	1
S1-724987000	6	4	2	0
S1-860698976	3	2	1	0
S1-935726971	6	4	2	0
S1-749509166	4	3	1	0
S1-617825072	4	4	0	0
S1-829229254	6	2	4	0
S1-317262694	7	3	4	0
S1-853833872	1	0	1	0
S1-24305973	4	1	3	1
S1-430241671	5	2	3	1
S1-223065339	4	3	1	0
S1-246430250	6	2	4	1
S1-326676604	2	1	1	0
S1-669769290	5	1	4	0
S1-134297276	2	1	1	0
S1-25261903	6	3	3	0
S1-621208988	5	2	3	0
S1-663721546	3	1	2	0
S1-426396816	5	4	1	0
S1-840588115	4	2	2	0
S1-535792263	3	2	1	0
S1-697843159	2	1	1	0
S1-212923073	0	0	0	0
S1-394992360	1	0	1	0
S1-234315370	4	1	3	0
S1-493500111	5	1	4	0
S1-488471428	3	2	1	1
S1-852814239	1	1	0	0
S1-955852534	2	0	2	0
S1-536208045	4	1	3	0
S1-987300657	6	1	5	0
S1-438777523	0	0	0	0
S1-181144095	6	3	3	1
S1-508180600	4	1	3	1
S1-109565574	4	2	2	0
S1-432340801	0	0	0	1
S1-849959938	7	3	4	0
S1-111589333	5	3	2	0
S1-967115736	4	3	1	0
S1-443235225	4	1	3	0
S1-622861882	3	2	1	0
S1-713105440	4	2	2	0
S1-884353852	4	1	3	1
S1-314703917	3	2	1	1
S1-581221717	2	1	1	0
S1-250724557	3	2	1	1
S1-31613122	3	2	1	1
S1-555388048	2	2	0	0
S1-189665260	7	5	2	0
S1-107820897	0	0	0	0
S1-227656451	4	1	3	0
S1-358743745	8	4	4	1
S1-680348466	2	1	1	0
S1-650900310	2	1	1	0
S1-125238994	4	1	3	0
S1-967005198	0	0	0	1
S1-655445260	0	0	0	1
S1-335160409	5	3	2	0
S1-227764656	6	4	2	0
S1-839573616	5	2	3	0
S1-730629056	3	1	2	0
S1-684011983	1	1	0	0
S1-963274337	3	2	1	0
S1-920346809	3	2	1	0
S1-655046555	2	2	0	0
S1-354096666	0	0	0	0
S1-975720283	5	3	2	1
S1-599206877	6	0	6	0
S1-790554478	2	1	1	1
S1-926842523	5	2	3	0
S1-657617201	6	2	4	1
S1-189867735	4	3	1	0
S1-365715573	7	4	3	0
S1-599045538	5	1	4	0
S1-104594645	5	3	2	1
S1-256472774	2	1	1	1
S1-525304510	3	1	2	0
S1-261599095	2	2	0	0
S1-962322626	2	2	0	0
S1-628245995	5	2	3	0
S1-886218130	5	2	3	0
S1-305264553	6	4	2	0
S1-251910741	2	1	1	0
S1-429719122	3	1	2	0
S1-358500669	4	3	1	1
S1-379419227	1	0	1	0
S1-698576448	1	1	0	1
S1-892415663	5	2	3	0
S1-94277204	5	2	3	0
S1-775162221	6	2	4	0
S1-672150061	3	2	1	0
S1-27817521	3	1	2	0
S1-154182001	5	4	1	0
S1-359033061	3	2	1	1
S1-117905876	3	2	1	1
S1-443383960	4	1	3	1
S1-523477202	4	2	2	0
S1-37334737	5	1	4	0
S1-265065704	4	2	2	0
S1-310064063	2	0	2	1
S1-288725441	1	1	0	1
S1-145706980	4	3	1	0
S1-702491441	4	1	3	0
S1-157863931	3	2	1	0
S1-725496051	4	3	1	0
S1-704018652	2	1	1	1
S1-395511449	6	2	4	1
S1-213232831	5	3	2	0
S1-234478198	3	2	1	0
S1-705602995	1	0	1	0
S1-245215825	1	1	0	1
S1-803297813	2	1	1	0
S1-405154153	4	1	3	0
S1-693235891	6	5	1	0
S1-102743120	5	2	3	0
S1-604206	4	2	2	0
S1-166141123	0	0	0	0
S1-428779552	3	1	2	1
S1-407546990	3	2	1	0
S1-345259097	3	0	3	1
S1-219938369	5	2	3	0
S1-810621468	2	1	1	0
S1-469838144	4	2	2	0
S1-535729178	3	0	3	0
S1-99910561	4	2	2	0
S1-696038242	2	1	1	0
S1-347670299	7	4	3	0
S1-942747562	2	1	1	1
S1-317044667	1	0	1	0
S1-293762232	0	0	0	1
S1-590041452	3	2	1	0
S1-619728586	2	2	0	1
S1-139000701	4	1	3	0
S1-404079969	2	1	1	0
S1-951433056	4	3	1	0
S1-645504157	3	1	2	0
S1-301356424	4	2	2	0
S1-207579968	2	1	1	0
S1-82205110	0	0	0	1
S1-694737938	0	0	0	0
S1-430175506	2	1	1	1
S1-783812084	2	1	1	0
S1-723666298	4	3	1	0
S1-271828436	3	2	1	1
S1-251251866	3	1	2	0
S1-533831012	4	1	3	0
S1-249739553	4	2	2	1
S1-684375003	3	1	2	1
S1-876506471	0	0	0	0
S1-281248921	2	1	1	0
S1-577389825	5	3	2	0
S1-889739714	5	2	3	0
S1-902066796	5	1	4	1
S1-117321831	4	3	1	1
S1-627127202	1	0	1	0
S1-216160241	6	3	3	0
S1-688253692	3	2	1	1
S1-791219581	1	0	1	0
S1-29789193	4	2	2	1
S1-207496142	4	1	3	0
S1-213258598	1	1	0	0
S1-240670780	2	1	1	0
S1-647709140	4	1	3	0
S1-140115407	2	0	2	0
S1-356898231	4	2	2	0
S1-209176885	6	3	3	0
S1-337537721	3	2	1	0
S1-151798010	4	1	3	1
S1-575813193	3	0	3	1
S1-174146241	4	3	1	1
S1-130703265	3	1	2	0
S1-69503675	5	2	3	0
S1-742955595	5	4	1	0
S1-109597244	0	0	0	1
S1-360834742	4	2	2	0
S1-378193513	0	0	0	0
S1-986522100	3	3	0	0
S1-472606176	3	2	1	0
S1-469474125	5	3	2	0
S1-192037859	3	2	1	0
S1-985273457	5	3	2	1
S1-982486836	3	1	2	0
S1-754857741	7	4	3	0
S1-480093343	0	0	0	0
S1-382264455	3	2	1	1
S1-241377719	3	0	3	0
S1-875854139	6	1	5	0
S1-454044759	2	1	1	0
S1-546709626	4	1	3	0
S1-20304719	4	2	2	0
S1-802842698	1	1	0	0
S1-569755626	4	2	2	0
S1-345839221	3	1	2	0
S1-70941386	4	1	3	0
S1-163804964	4	3	1	1
S1-228084002	4	2	2	0
S1-75486473	3	1	2	0
S1-785045662	4	2	2	1
S1-65784613	4	2	2	0
S1-57272176	4	2	2	1
S1-848518161	3	1	2	0
S1-59510835	2	0	2	1
S1-956360960	3	1	2	0
S1-575680216	4	2	2	0
S1-64747250	3	2	1	0
S1-913227460	2	1	1	0
S1-147925883	8	2	6	0
S1-959952628	4	3	1	0
S1-736969873	6	3	3	0
S1-642828290	4	1	3	0
S1-202578176	3	1	2	0
S1-606417048	7	3	4	0
S1-61861090	2	1	1	0
S1-189558586	5	1	4	0
S1-978333761	6	3	3	0
S1-497842827	2	1	1	0
S1-118144180	5	4	1	0
S1-942429133	3	2	1	1
S1-817719990	6	1	5	1
S1-66746049	4	3	1	0
S1-340068237	3	2	1	0
S1-508866197	4	3	1	0
S1-499904798	3	1	2	1
S1-945774035	7	4	3	0
S1-628116466	2	0	2	1
S1-360541136	3	1	2	0
S1-699079879	4	1	3	0
S1-413679790	3	2	1	0
S1-576524357	4	3	1	0
S1-125999655	2	1	1	0
S1-845477145	4	3	1	0
S1-546743508	2	1	1	0
S1-165915863	5	1	4	1
S1-892324295	2	0	2	0
S1-77930833	3	2	1	1
S1-943595486	3	1	2	0
S1-498030238	0	0	0	0
S1-41843797	4	1	3	0
S1-176638896	1	1	0	0
S1-590208245	4	1	3	0
S1-387211283	4	3	1	0
S1-535875591	6	2	4	1
S1-490868047	3	2	1	0
S1-218058354	0	0	0	0
S1-22445889	2	1	1	0
S1-987749650	5	3	2	0
S1-377860031	5	2	3	1
S1-313731353	3	2	1	0
S1-743842828	3	1	2	0
S1-165937999	3	0	3	0
S1-481011	6	2	4	0
S1-593565451	4	2	2	1
S1-152731297	6	3	3	0
S1-299861722	3	2	1	1
S1-898643049	3	0	3	1
S1-262918676	3	1	2	0
S1-848269777	5	2	3	1
S1-281569207	5	3	2	0
S1-85042969	5	3	2	0
S1-631727142	4	1	3	0
S1-727292749	6	3	3	0
S1-867212465	4	1	3	0
S1-454207394	2	0	2	0
S1-265307526	3	2	1	0
S1-406932020	3	1	2	0
S1-749067273	6	3	3	0
S1-40433208	3	1	2	0
S1-763712802	5	2	3	0
S1-827038129	5	1	4	0
S1-304231672	5	2	3	0
S1-48113060	3	0	3	0
S1-228279134	4	1	3	1
S1-248343073	5	3	2	0
S1-805229335	2	1	1	0
S1-13709299	2	0	2	0
S1-24756267	3	2	1	0
S1-130957177	5	1	4	1
S1-679392570	5	2	3	0
S1-128280984	3	2	1	0
S1-220775509	4	3	1	0
S1-7314585	2	1	1	0
S1-415841864	5	3	2	0
S1-448989961	6	1	5	1
S1-830936632	5	4	1	1
S1-99245017	4	1	3	0
S1-976150307	6	2	4	0
S1-905106256	3	0	3	0
S1-696641869	4	1	3	0
S1-268476080	3	1	2	0
S1-874362372	6	4	2	0
S1-789108317	2	1	1	0
S1-915540133	6	3	3	0
S1-307675763	7	3	4	0
S1-822788356	3	1	2	0
S1-11200670	6	4	2	0
S1-429193877	4	3	1	0
S1-109450074	2	1	1	0
S1-577633788	4	3	1	0
S1-914501024	1	1	0	0
S1-213633120	3	3	0	0
S1-799859017	1	0	1	0
S1-909710664	2	1	1	0
S1-723680367	3	3	0	0
S1-138576801	3	1	2	1
S1-932328277	6	1	5	0
S1-170999178	4	3	1	0
S1-306915208	0	0	0	0
S1-571221834	3	2	1	0
S1-46310811	2	0	2	0
S1-599204195	5	2	3	1
S1-393062263	6	3	3	0
S1-922890080	2	1	1	0
S1-226211623	2	1	1	1
S1-420441904	7	3	4	0
S1-400159361	4	2	2	0
S1-512595642	4	3	1	0
S1-459337348	0	0	0	0
S1-166337668	2	0	2	0
S1-138256304	3	1	2	0
S1-731164005	6	4	2	0
S1-616475804	3	3	0	0
S1-127406091	0	0	0	0
S1-312235137	0	0	0	1
S1-839699879	6	4	2	0
S1-941624670	2	1	1	0
S1-820784044	5	3	2	0
S1-680899872	2	0	2	1
S1-71284994	3	1	2	0
S1-505611155	3	1	2	0
S1-693515163	3	1	2	0
S1-301123761	7	5	2	0
S1-351093285	3	2	1	1
S1-513311458	2	1	1	1
S1-213617388	2	1	1	0
S1-899576573	3	2	1	0
S1-177244042	4	2	2	1
S1-916867113	4	2	2	0
S1-822796303	5	3	2	0
S1-321818285	8	5	3	1
S1-187017508	5	4	1	1
S1-96156790	5	1	4	0
S1-938302603	3	1	2	0
S1-770228041	3	3	0	0
S1-154190197	3	2	1	0
S1-659740387	4	3	1	0
S1-813581750	3	1	2	0
S1-524227023	2	1	1	0
S1-928779438	2	1	1	0
S1-358188421	1	1	0	1
S1-140990037	2	1	1	1
S1-557182088	4	1	3	0
S1-509831887	3	1	2	0
S1-33765893	5	1	4	1
S1-552604766	0	0	0	0
S1-545479624	3	1	2	1
S1-321086402	0	0	0	1
S1-394836603	4	2	2	1
S1-406152256	6	2	4	1
S1-796744920	2	1	1	0
S1-246038909	3	2	1	0
S1-29749013	2	1	1	1
S1-387942393	2	1	1	1
S1-753316856	3	2	1	0
S1-757677714	3	1	2	0
S1-145443638	5	3	2	1
S1-667949337	3	1	2	1
S1-836296604	4	1	3	0
S1-124899181	4	2	2	0
S1-267823339	3	1	2	0
S1-628791405	3	1	2	0
S1-780656853	4	1	3	0
S1-380906499	4	2	2	0
S1-400537875	3	2	1	1
S1-319923917	3	2	1	0
S1-764726689	7	4	3	0
S1-998304049	2	1	1	0
S1-131190407	4	1	3	0
S1-389546786	2	0	2	0
S1-789992683	5	2	3	0
S1-857273380	2	2	0	0
S1-146902248	0	0	0	0
S1-532563960	2	1	1	1
S1-327579278	3	2	1	0
S1-398469911	2	1	1	0
S1-618704174	3	1	2	0
S1-711546038	0	0	0	1
S1-407240754	2	1	1	0
S1-819331363	5	2	3	0
S1-152106212	2	0	2	0
S1-428622363	4	3	1	0
S1-611117474	2	2	0	0
S1-480369952	5	1	4	0
S1-853616545	4	2	2	0
S1-685048543	3	2	1	0
S1-834947894	4	1	3	1
S1-668219004	1	1	0	1
S1-995633012	3	2	1	0
S1-733363215	2	0	2	0
S1-143960680	4	2	2	0
S1-883292335	2	0	2	0
S1-905638422	2	0	2	1
S1-465062093	3	0	3	0
S1-34081350	5	4	1	1
S1-586004357	4	2	2	1
S1-653053845	4	3	1	0
S1-377912796	4	2	2	0
S1-290452420	4	2	2	0
S1-825136756	2	1	1	0
S1-289698113	4	0	4	0
S1-780189346	3	1	2	0
S1-681441889	2	1	1	0
S1-559895759	2	1	1	0
S1-964134328	5	4	1	0
S1-525150018	3	1	2	0
S1-165965006	3	2	1	0
S1-625312123	2	1	1	0
S1-416197754	1	0	1	0
S1-202958611	4	1	3	1
S1-643898887	6	3	3	1
S1-822783100	1	1	0	1
S1-695827885	4	2	2	0
S1-216733182	5	2	3	0
S1-100065295	4	2	2	0
S1-663070553	5	2	3	0
S1-890791121	4	2	2	0
S1-309037526	2	1	1	0
S1-505475964	0	0	0	0
S1-338284293	6	4	2	0
S1-747707981	4	2	2	1
S1-79601388	0	0	0	0
S1-715037663	2	1	1	0
S1-500805242	7	3	4	1
S1-348776573	4	3	1	1
S1-44740188	6	3	3	0
S1-158534901	0	0	0	0
S1-294128479	5	3	2	0
S1-277321107	5	3	2	0
S1-498219902	4	2	2	0
S1-377518497	2	1	1	0
S1-265294663	3	2	1	0
S1-728762565	2	0	2	1
S1-273311268	4	2	2	0
S1-660311557	2	1	1	0
S1-650696290	0	0	0	0
S1-662862687	4	2	2	1
S1-362174	3	1	2	1
S1-69136938	5	1	4	0
S1-790709500	3	1	2	1
S1-569877977	2	1	1	0
S1-259620754	7	3	4	0
S1-193688525	4	2	2	0
S1-665417843	4	2	2	0
S1-539009314	4	3	1	0
S1-996746963	3	1	2	0
S1-464958840	3	1	2	1
S1-734475733	3	1	2	0
S1-44102077	2	1	1	1
S1-939019335	3	2	1	0
S1-770861340	3	2	1	0
S1-986752294	3	1	2	0
S1-976485117	6	1	5	1
S1-995803674	4	2	2	0
S1-968834274	2	0	2	0
S1-711368086	3	2	1	0
S1-874097698	1	0	1	0
S1-622393908	4	2	2	0
S1-607933705	3	3	0	0
S1-158464905	3	1	2	0
S1-893763030	0	0	0	1
S1-370318467	8	4	4	1
S1-482793213	4	3	1	1
S1-497221253	3	1	2	0
S1-510006375	3	1	2	0
S1-444242020	3	1	2	0
S1-589512581	5	2	3	0
S1-773037425	5	2	3	0
S1-530639460	5	2	3	0
S1-825385187	2	0	2	0
S1-425569447	2	1	1	0
S1-685535568	3	1	2	0
S1-65068776	3	0	3	1
S1-643757932	3	2	1	0
S1-949954287	3	0	3	1
S1-688842109	2	1	1	0
S1-275712314	2	0	2	0
S1-818653007	5	2	3	0
S1-60459372	4	2	2	0
S1-310885588	3	2	1	0
S1-705367794	4	1	3	0
S1-128414869	3	1	2	0
S1-155352199	7	4	3	1
S1-585930773	3	1	2	0
S1-10580196	4	2	2	0
S1-5272605	3	1	2	0
S1-949674979	6	3	3	0
S1-372476597	7	3	4	0
S1-943380830	0	0	0	0
S1-261677770	2	1	1	0
S1-885746969	4	2	2	0
S1-234285521	2	1	1	0
S1-104386090	7	4	3	0
S1-769559180	4	3	1	0
S1-113305149	4	3	1	0
S1-467258400	5	2	3	1
S1-270228939	6	4	2	0
S1-478661142	2	1	1	0
S1-799324054	3	1	2	0
S1-129469494	2	1	1	0
S1-392737211	0	0	0	0
S1-481128060	4	3	1	0
S1-610042408	5	2	3	0
S1-483260441	1	0	1	0
S1-122838063	0	0	0	0
S1-599240592	3	1	2	0
S1-760094221	3	2	1	0
S1-586802916	4	1	3	0
S1-690010564	0	0	0	0
S1-271481846	0	0	0	0
S1-805567974	1	0	1	0
S1-712128687	5	2	3	0
S1-731648200	2	1	1	0
S1-869831993	4	1	3	0
S1-238132008	4	1	3	0
S1-797816408	3	2	1	0
S1-591334282	3	0	3	0
S1-817145938	3	2	1	0
S1-955930074	2	1	1	1
S1-464755342	4	3	1	0
S1-668873721	6	4	2	1
S1-99824219	3	1	2	1
S1-44605593	6	4	2	0
S1-191502	3	0	3	0
S1-841262640	3	1	2	0
S1-349700230	3	1	2	1
S1-369166869	6	2	4	0
S1-856986445	2	1	1	0
S1-13837614	2	1	1	0
S1-400139873	3	1	2	0
S1-220062526	3	3	0	0
S1-272721298	2	2	0	1
S1-38766649	2	1	1	0
S1-84849610	6	1	5	0
S1-205166426	0	0	0	0
S1-554981898	3	0	3	0
S1-100365402	2	1	1	0
S1-201132589	3	2	1	0
S1-425087749	3	2	1	1
S1-591813000	2	0	2	0
S1-873750649	5	3	2	0
S1-405792862	2	0	2	0
S1-950851660	2	1	1	0
S1-841680530	5	2	3	0
S1-434565769	1	0	1	0
S1-719716811	5	1	4	1
S1-493403317	3	1	2	0
S1-24916373	5	3	2	1
S1-293269519	2	1	1	0
S1-541260963	0	0	0	1
S1-476769721	5	1	4	0
S1-259293046	5	4	1	0
S1-463065598	3	2	1	0
S1-547062323	0	0	0	0
S1-218649327	3	2	1	0
S1-554868625	4	1	3	1
S1-949851506	4	3	1	0
S1-523974786	2	2	0	0
S1-742019822	3	1	2	1
S1-744905074	4	1	3	0
S1-583272868	5	3	2	0
S1-48210794	2	1	1	0
S1-258380408	6	2	4	0
S1-318221358	2	1	1	0
S1-491777094	4	2	2	0
S1-594278973	4	1	3	0
S1-330316171	5	3	2	0
S1-525571842	3	2	1	1
S1-907033309	4	4	0	0
S1-360914518	4	2	2	0
S1-526776848	0	0	0	0
S1-649907240	5	2	3	0
S1-306010127	3	1	2	0
S1-777147078	6	2	4	0
S1-919165160	6	3	3	0
S1-287248352	3	1	2	0
S1-180936752	4	1	3	1
S1-456238572	5	3	2	0
S1-499216172	3	1	2	0
S1-722440473	3	2	1	0
S1-128516192	3	1	2	0
S1-107955768	5	3	2	0
S1-390620592	4	1	3	0
S1-751406999	1	0	1	0
S1-732389670	6	3	3	0
S1-310662171	3	1	2	0
S1-399761147	3	2	1	1
S1-889892920	4	3	1	0
S1-518120038	4	2	2	1
S1-231292475	2	1	1	0
S1-347334097	5	2	3	0
S1-266386719	3	2	1	0
S1-446766985	5	2	3	1
S1-450636499	1	0	1	0
S1-2409065	3	1	2	0
S1-605049357	7	4	3	0
S1-906273834	2	1	1	0
S1-535802318	3	1	2	0
S1-470232737	3	2	1	0
S1-447585907	2	0	2	0
S1-344339220	3	1	2	1
S1-960065780	6	3	3	0
S1-419797527	4	2	2	0
S1-549264353	5	3	2	0
S1-510760326	8	4	4	0
S1-977151213	6	2	4	0
S1-710975868	3	1	2	0
S1-588800377	4	2	2	0
S1-780059117	4	1	3	0
S1-882343229	4	0	4	0
S1-302822677	4	2	2	0
S1-500755346	3	2	1	1
S1-705247568	1	1	0	0
S1-532263646	3	1	2	0
S1-352050814	4	3	1	0
S1-737198187	2	0	2	0
S1-483160150	4	3	1	0
S1-936695573	0	0	0	0
S1-807375408	1	1	0	0
S1-992548042	5	3	2	0
S1-785700943	2	1	1	0
S1-811904920	5	3	2	0
S1-690774450	0	0	0	1
S1-228653601	6	1	5	0
S1-843563225	2	1	1	0
S1-45865263	4	2	2	0
S1-235593041	4	2	2	1
S1-435764640	3	1	2	1
S1-253550233	2	1	1	0
S1-353627933	2	1	1	0
S1-634340370	3	2	1	0
S1-814657574	2	1	1	0
S1-156825302	3	2	1	1
S1-353931815	5	3	2	0
S1-531837855	6	5	1	0
S1-170943288	3	2	1	0
S1-204790284	3	2	1	0
S1-476646646	4	2	2	1
S1-825683224	7	2	5	0
S1-487734577	2	1	1	0
S1-900606615	6	1	5	1
S1-367679059	0	0	0	0
S1-34181833	1	0	1	1
S1-72045433	1	0	1	0
S1-713928587	4	1	3	0
S1-260641574	5	2	3	0
S1-503939857	2	1	1	1
S1-291109440	1	1	0	0
S1-589393668	5	2	3	0
S1-154790709	1	1	0	0
S1-984429646	5	2	3	0
S1-416449503	3	0	3	0
S1-7169872	5	3	2	0
S1-502781524	4	2	2	0
S1-747899452	6	0	6	0
S1-495297369	3	1	2	0
S1-394064735	7	2	5	1
S1-468825447	3	1	2	0
S1-212279400	4	2	2	1
S1-922513621	2	2	0	0
S1-122402532	2	0	2	0
S1-534229336	3	0	3	0
S1-930761610	3	3	0	0
S1-348948344	6	2	4	0
S1-690345259	4	1	3	0
S1-241771203	5	4	1	0
S1-797541565	3	1	2	0
S1-396024629	7	3	4	1
S1-58812574	6	3	3	0
S1-831727591	4	2	2	0
S1-787009435	4	1	3	1
S1-67539245	4	2	2	0
S1-806032435	6	2	4	0
S1-16771900	3	2	1	1
S1-728878045	0	0	0	1
S1-13467906	3	1	2	0
S1-590984670	3	2	1	0
S1-33102953	4	1	3	0
S1-934003476	3	2	1	1
S1-117048649	3	2	1	0
S1-394475192	3	1	2	0
S1-228398068	2	1	1	0
S1-117584702	5	2	3	1
S1-107957810	3	1	2	0
S1-686424097	6	4	2	0
S1-733775896	5	4	1	0
S1-364589143	6	3	3	1
S1-961080544	2	2	0	0
S1-41478874	3	2	1	0
S1-794129388	5	2	3	0
S1-371417095	3	1	2	0
S1-844870867	2	1	1	0
S1-521336346	2	1	1	1
S1-276678997	5	2	3	0
S1-401685816	4	1	3	0
S1-418185631	3	2	1	0
S1-7220224	5	2	3	0
S1-666101978	2	1	1	0
S1-513005324	5	2	3	0
S1-572277104	1	1	0	0
S1-557910378	0	0	0	1
S1-296554401	1	0	1	0
S1-738879762	5	1	4	1
S1-87390816	2	2	0	1
S1-812539888	2	2	0	0
S1-291357856	6	3	3	0
S1-462499569	9	4	5	0
S1-776960737	4	2	2	0
S1-766721296	3	0	3	0
S1-237836072	6	1	5	0
S1-419665788	6	2	4	0
S1-115496141	5	3	2	0
S1-677935743	6	4	2	0
S1-722771976	3	1	2	0
S1-734485132	7	3	4	0
S1-374434926	4	2	2	1
S1-669236944	4	3	1	0
S1-366798296	6	3	3	0
S1-451492072	3	2	1	1
S1-765638069	7	5	2	0
S1-465865578	6	2	4	0
S1-555034146	5	1	4	1
S1-115415854	2	2	0	1
S1-787043095	0	0	0	1
S1-813651438	4	3	1	0
S1-971981559	6	2	4	0
S1-545407827	4	1	3	0
S1-570072717	3	2	1	0
S1-520630575	3	1	2	0
S1-557875472	4	1	3	0
S1-559388448	2	2	0	0
S1-66207309	2	0	2	0
S1-884724402	3	2	1	0
S1-712021702	5	1	4	1
S1-664413780	3	2	1	0
S1-499430434	5	2	3	1
S1-760096151	3	2	1	0
S1-200617008	3	2	1	0
S1-623452738	2	1	1	0
S1-474954481	5	2	3	0
S1-729521945	0	0	0	0
S1-769639906	0	0	0	1
S1-208682389	4	3	1	0
S1-412537380	5	2	3	0
S1-64517585	2	1	1	0
S1-812274502	4	3	1	0
S1-460613684	2	2	0	0
S1-407219953	0	0	0	0
S1-929729599	8	3	5	0
S1-877233109	4	1	3	0
S1-224466829	4	2	2	0
S1-754983222	0	0	0	0
S1-668105264	0	0	0	1
S1-335231034	3	2	1	0
S1-503524399	3	3	0	0
S1-442634470	2	0	2	0
S1-611182218	5	2	3	0
S1-677693056	3	2	1	0
S1-391223436	3	3	0	0
S1-725334592	3	1	2	0
S1-59630692	3	2	1	1
S1-784006004	2	1	1	0
S1-907019093	6	4	2	1
S1-610257895	4	2	2	1
S1-687742312	2	0	2	0
S1-142506003	1	1	0	0
S1-233112957	2	1	1	0
S1-619986950	4	1	3	0
S1-520640086	4	3	1	1
S1-983768451	4	3	1	0
S1-226418854	3	1	2	0
S1-371591724	4	4	0	0
S1-986793668	4	2	2	0
S1-829657486	3	2	1	0
S1-672056791	5	1	4	0
S1-356272103	3	2	1	0
S1-972375131	5	3	2	0
S1-600304818	3	2	1	0
S1-718504953	5	1	4	0
S1-584725611	7	2	5	0
S1-775105256	2	0	2	0
S1-880279777	3	0	3	0
S1-369568495	7	3	4	0
S1-155555909	4	2	2	0
S1-762343690	6	3	3	0
S1-496625035	3	2	1	0
S1-705952997	2	2	0	1
S1-288855596	4	2	2	1
S1-693190919	6	1	5	1
S1-509288861	2	1	1	0
S1-499953033	5	4	1	0
S1-441643727	0	0	0	0
S1-384124643	3	1	2	0
S1-24659968	4	2	2	0
S1-266692839	2	1	1	1
S1-151932324	0	0	0	0
S1-847994492	4	1	3	0
S1-130147321	1	1	0	0
S1-795575495	4	2	2	0
S1-295284011	5	1	4	1
S1-703284403	5	3	2	0
S1-448367080	2	1	1	1
S1-175111461	4	3	1	0
S1-690640850	8	3	5	0
S1-146745089	6	3	3	0
S1-541430758	2	2	0	0
S1-132404195	3	1	2	0
S1-877371536	4	3	1	0
S1-966204287	2	2	0	0
S1-710565396	5	1	4	0
S1-300996426	2	1	1	0
S1-501727682	2	1	1	0
S1-593879269	4	2	2	0
S1-845429639	6	2	4	1
S1-120630528	4	1	3	1
S1-500523589	0	0	0	0
S1-882434567	2	1	1	0
S1-164097112	7	4	3	0
S1-877174297	3	2	1	0
S1-883050955	3	1	2	0
S1-256343247	5	3	2	1
S1-802009285	6	3	3	0
S1-193155503	5	4	1	0
S1-76089171	2	1	1	0
S1-612342775	5	2	3	1
S1-296054008	5	3	2	0
S1-342562820	2	1	1	1
S1-682350775	3	1	2	0
S1-317812831	2	1	1	0
S1-828114451	3	2	1	0
S1-191612861	1	0	1	0
S1-197212532	3	2	1	0
S1-72218349	5	4	1	1
S1-731152906	6	3	3	0
S1-594754999	7	3	4	0
S1-447639119	3	1	2	0
S1-975179669	4	2	2	1
S1-705833446	1	0	1	0
S1-224424402	1	0	1	0
S1-58919833	3	2	1	0
S1-634775342	2	1	1	0
S1-113211021	3	1	2	0
S1-858892561	4	2	2	0
S1-328875820	5	4	1	0
S1-568180949	6	4	2	0
S1-505441549	3	2	1	0
S1-664506656	5	2	3	0
S1-549463542	4	1	3	1
S1-708213658	3	2	1	1
S1-854087923	8	4	4	0
S1-923459419	4	2	2	0
S1-225015652	3	2	1	1
S1-198520398	4	2	2	0
S1-461301899	3	1	2	0
S1-988929257	5	2	3	0
S1-681098662	5	1	4	0
